vvweight,college,medicare_expand,repeal_aca,regulate_carbon,prefertrump
.68816562,0,1,0,1,0
.58246476,1,0,0,1,0
.6872648,1,1,0,1,0
1.381171,1,1,0,1,0
.99558291,1,0,1,0,1
.65736609,1,1,0,1,0
.97097002,1,0,1,0,1
1.0245386,1,1,0,1,0
1.1198214,1,1,0,1,0
1.038249,1,0,1,0,1
.71988242,1,1,0,1,0
.76836715,0,1,0,1,0
2.0895463,0,0,1,0,1
1.085801,1,0,1,1,1
.57924389,0,0,0,1,0
1.0491632,1,0,1,0,1
1.2208424,1,0,0,0,1
1.0701795,1,0,1,0,1
.50056231,0,0,1,0,1
.48057288,1,1,1,1,0
.63796554,1,1,0,1,0
1.4279831,1,0,1,0,1
.51704382,1,1,0,1,0
.95017606,1,1,0,1,0
1.0487529,1,0,1,0,1
4.6010505,1,1,1,0,1
1.3881822,0,0,1,0,1
.72198724,1,1,0,1,0
2.2458933,0,0,1,1,1
.56596235,1,1,0,1,0
.50726271,0,1,0,1,0
1.1217029,1,1,1,1,1
.36651148,1,1,0,1,0
1.7548121,0,0,1,0,1
1.3032825,0,0,1,0,1
.90940256,0,0,0,1,0
1.4614883,1,0,1,0,1
1.4956883,1,0,1,0,1
2.2910182,1,1,0,1,0
.85243891,1,1,0,1,0
1.8108402,1,0,1,0,1
.96009904,1,0,1,1,1
.72807762,1,1,0,1,0
.6454389,1,0,0,0,0
.99117497,1,1,0,1,0
.61441227,1,1,0,1,0
1.6736288,1,0,1,0,1
1.1734184,1,0,0,1,0
.78870922,1,0,1,0,1
1.2140957,0,1,1,1,0
.87601684,0,1,0,1,0
1.0014009,0,1,0,1,0
1.386686,0,0,1,0,1
.64582816,1,1,0,1,0
.79635822,1,0,1,0,1
.71723508,1,1,1,1,1
.65736609,1,0,0,1,0
.32444236,1,0,0,1,0
.63630901,1,1,0,1,0
.73115052,1,1,0,1,0
1.3416255,1,1,1,1,1
1.8388292,1,0,0,1,1
.63448915,0,1,0,1,0
1.0033899,1,0,1,0,1
1.3706232,0,0,0,1,0
.71723508,1,0,1,1,1
.95979291,1,1,0,1,0
.72153223,1,1,0,1,0
.18787054,1,1,0,1,0
.42145142,1,1,1,1,0
.97098718,1,1,0,1,0
1.3382369,1,0,1,0,1
1.0749654,1,1,0,1,0
2.1856748,1,0,1,0,1
1.0749654,1,1,0,1,0
.53019324,1,1,0,1,0
.67709862,1,1,0,1,0
.60723897,0,0,0,1,0
.49694796,1,0,0,1,0
.66172744,1,0,0,1,0
1.4616919,1,0,1,0,1
.8750405,1,0,0,1,0
.48057288,1,0,0,1,0
1.1963377,0,0,1,0,1
1.0685523,1,1,0,1,0
.97809953,1,1,0,1,0
.93194826,1,0,1,0,1
1.0701795,1,0,1,1,1
1.3706232,0,0,0,1,0
1.7386679,0,1,0,1,1
1.5833653,1,0,0,1,0
.33267228,0,1,0,1,0
.71089606,1,1,0,1,0
1.287287,1,0,0,1,0
.67966199,1,0,0,1,0
.60780904,1,1,0,1,0
1.5545652,0,0,1,1,1
.81199962,1,1,0,1,0
2.0746547,1,0,0,0,1
1.7491466,1,0,1,0,1
1.0512363,1,1,0,1,0
.9537515,1,1,0,1,0
1.0163135,1,1,0,1,0
2.0802413,0,0,1,0,1
1.8775258,1,1,0,1,0
1.9573704,0,0,1,0,1
1.0305014,1,1,0,1,0
.97370297,0,1,0,0,0
1.7911964,1,1,0,1,0
2.9247578,0,0,1,0,1
1.1988308,1,0,1,0,1
.93171031,1,1,0,1,0
1.76318,1,0,1,0,1
.87558271,1,0,1,0,1
.69476433,1,1,0,0,0
1.535348,1,1,0,1,0
1.1088119,1,0,1,0,1
1.3356182,1,0,1,0,1
.68108548,1,1,0,1,0
.76836715,0,1,0,1,0
.81370128,1,1,0,1,0
.81090059,1,0,1,0,1
.88035345,1,1,0,1,0
1.1732026,1,1,0,1,0
.20540151,1,0,1,1,1
.73066772,1,1,0,1,0
1.1329223,0,0,1,0,0
2.1765342,1,0,1,0,1
1.2356229,1,0,1,0,1
.88018376,0,1,1,0,1
2.1174928,1,1,0,0,0
1.6715622,0,0,1,0,1
1.0749654,1,0,0,1,0
.96262306,1,1,0,1,0
.66959504,1,1,0,1,0
1.5413493,1,0,0,0,1
1.0985743,1,0,1,0,1
.20384688,1,0,0,1,0
.43406162,1,0,1,0,1
1.03174,1,1,0,1,0
1.9466022,1,1,0,1,0
1.3201124,1,1,0,1,1
1.255497,1,0,1,0,1
.63495419,1,0,0,1,0
.93692513,1,1,0,1,0
.85924633,0,0,1,0,1
.70071675,1,1,0,1,0
.89230813,1,1,0,1,0
.96262306,1,1,0,1,0
.86590612,1,0,0,1,0
.63311092,1,1,0,1,0
.31722287,1,1,0,0,0
.77598794,1,1,0,1,0
1.0983604,0,0,1,1,1
.6872648,1,1,0,1,0
1.2401399,0,0,1,0,1
.94210592,1,0,1,0,1
1.7405286,0,0,0,1,0
1.175792,0,1,0,1,0
.39504356,1,1,0,1,0
.79121116,0,1,1,1,1
1.0364098,1,1,0,1,0
1.5985879,0,0,0,1,1
.66040796,0,1,0,1,0
1.586929,0,0,1,0,1
1.9376911,1,0,1,0,1
1.3706232,0,1,0,1,0
.63034913,1,1,0,1,0
.76836715,0,1,0,1,0
1.1988308,1,0,1,0,1
.53552843,1,1,0,1,0
2.5500183,1,0,0,1,0
.69494771,0,0,0,1,0
1.0407623,1,1,0,1,0
.95773104,0,1,0,1,0
.84230623,1,1,0,1,0
.65736609,1,1,0,1,0
.75738528,1,1,0,1,0
.68499976,1,0,0,0,1
.4237781,1,1,1,1,0
1.1415737,1,0,1,0,1
.82589122,1,0,1,0,1
.81370128,1,1,0,1,0
.80667795,1,0,1,0,1
1.1071336,1,0,1,0,1
1.2149082,1,1,0,1,0
2.8159474,1,1,0,1,0
1.9494855,1,0,0,0,1
.73115052,1,0,0,1,0
2.6348853,1,1,0,1,0
.73066772,1,1,0,1,0
1.0393514,1,0,0,0,1
.73584959,1,1,0,1,0
1.1009669,1,1,0,1,0
.51252848,1,1,1,1,0
.2016023,1,1,0,1,0
.99117497,1,1,0,1,0
.42636538,1,1,0,1,0
.39616587,0,1,1,0,1
.99808142,1,1,0,1,0
.68108548,1,1,0,1,0
.81631817,1,1,0,1,0
.75541036,0,1,0,1,0
.60925347,1,1,0,0,0
1.1846647,1,0,1,0,1
.92128479,1,1,0,1,0
.81370128,1,1,0,1,0
.86809678,1,0,1,0,1
.66172744,1,1,0,1,0
.37267364,1,0,0,1,0
.46944512,0,1,0,1,0
1.3706232,1,0,0,1,0
.77598794,1,1,0,1,0
1.0520538,1,0,1,1,1
.63696157,1,1,0,1,0
1.2401399,0,0,1,0,1
.396938,0,1,0,1,0
.74689776,1,1,1,0,1
1.6781135,0,1,0,1,0
.87589004,1,0,1,0,1
.6830967,0,1,0,1,0
.94468654,1,1,0,1,0
.78051817,1,0,0,1,0
.77639005,1,0,1,0,1
1.255497,1,0,1,0,1
.8750405,1,1,0,1,0
.64582816,1,1,0,1,0
.42330885,1,1,0,1,0
.81370128,1,0,0,1,0
.83025939,1,0,1,0,1
.78604009,1,1,0,1,0
.6970932,0,0,0,1,0
.96009904,1,0,1,0,1
.65900751,1,1,0,0,0
.61162844,1,1,0,1,0
.70836378,0,0,0,1,0
.27051874,1,1,0,1,0
1.1115554,1,1,0,1,1
.74841878,1,1,0,1,0
.97295089,1,1,0,1,0
.88386184,1,0,1,0,1
.44071363,0,1,0,1,1
1.0711523,1,0,0,1,1
.66807119,1,1,0,1,0
.21112286,0,1,0,1,1
1.255497,1,0,1,0,1
.91014948,0,0,1,0,1
1.2761276,1,0,1,0,1
1.2671476,0,1,0,1,0
.43904399,1,1,0,1,0
1.2350405,0,1,0,0,1
1.5609816,1,0,0,0,1
1.2401399,1,0,1,0,1
.97242151,1,0,1,0,1
.52137416,0,0,0,1,0
.93495042,1,0,0,1,0
1.4721835,0,0,1,0,1
.79801489,1,1,0,1,0
